type;start_date;zipcode;visitation_sum;year
indoor;2019-02-01;77094;31183;2019
indoor;2019-02-01;77095;421476;2019
indoor;2019-02-01;77096;219933;2019
indoor;2019-02-01;77098;186305;2019
indoor;2019-02-01;77099;1130795;2019
indoor;2019-03-01;77002;24672879;2019
indoor;2019-03-01;77003;300042;2019
indoor;2019-03-01;77004;1865374;2019
indoor;2019-03-01;77005;5313246;2019
indoor;2019-03-01;77006;1027091;2019
indoor;2019-03-01;77007;929848;2019
indoor;2019-03-01;77008;1120048;2019
indoor;2019-03-01;77009;101942;2019
indoor;2019-03-01;77010;0;2019
indoor;2019-03-01;77011;0;2019
indoor;2019-03-01;77012;39629;2019
indoor;2019-03-01;77013;17;2019
indoor;2019-03-01;77014;112769;2019
indoor;2019-03-01;77015;95013;2019
indoor;2019-03-01;77016;1574;2019
indoor;2019-03-01;77017;24626;2019
indoor;2019-03-01;77018;340187;2019
indoor;2019-03-01;77019;1548262;2019
indoor;2019-03-01;77020;31424;2019
indoor;2019-03-01;77021;8635;2019
indoor;2019-03-01;77022;58141;2019
indoor;2019-03-01;77023;49738;2019
indoor;2019-03-01;77024;2685980;2019
indoor;2019-03-01;77025;51072;2019
indoor;2019-03-01;77026;9978;2019
indoor;2019-03-01;77027;1553704;2019
indoor;2019-03-01;77028;3816;2019
indoor;2019-03-01;77029;151142;2019
indoor;2019-03-01;77030;6673836;2019
indoor;2019-03-01;77031;33269;2019
indoor;2019-03-01;77032;63371;2019
indoor;2019-03-01;77033;0;2019
indoor;2019-03-01;77034;471086;2019
indoor;2019-03-01;77035;10050;2019
indoor;2019-03-01;77036;370225;2019
indoor;2019-03-01;77037;62322;2019
indoor;2019-03-01;77038;0;2019
indoor;2019-03-01;77039;22241;2019
indoor;2019-03-01;77040;894317;2019
indoor;2019-03-01;77041;135792;2019
indoor;2019-03-01;77042;472428;2019
indoor;2019-03-01;77043;6342821;2019
indoor;2019-03-01;77044;11894;2019
indoor;2019-03-01;77045;3023;2019
indoor;2019-03-01;77046;89614;2019
indoor;2019-03-01;77047;228418;2019
indoor;2019-03-01;77048;409;2019
indoor;2019-03-01;77049;0;2019
indoor;2019-03-01;77050;0;2019
indoor;2019-03-01;77051;0;2019
indoor;2019-03-01;77053;1421;2019
indoor;2019-03-01;77054;928781879;2019
indoor;2019-03-01;77055;361433;2019
indoor;2019-03-01;77056;3131050;2019
indoor;2019-03-01;77057;1098285;2019
indoor;2019-03-01;77058;10383043;2019
indoor;2019-03-01;77059;51932;2019
indoor;2019-03-01;77060;46349;2019
indoor;2019-03-01;77061;27387;2019
indoor;2019-03-01;77062;22917;2019
indoor;2019-03-01;77063;609601;2019
indoor;2019-03-01;77064;280151;2019
indoor;2019-03-01;77065;712005;2019
indoor;2019-03-01;77066;173916;2019
indoor;2019-03-01;77067;13611;2019
indoor;2019-03-01;77068;2883152;2019
indoor;2019-03-01;77069;50388;2019
indoor;2019-03-01;77070;1458631;2019
indoor;2019-03-01;77071;12085;2019
indoor;2019-03-01;77072;78037;2019
indoor;2019-03-01;77073;49788;2019
indoor;2019-03-01;77074;674557;2019
indoor;2019-03-01;77075;42447;2019
indoor;2019-03-01;77076;5636;2019
indoor;2019-03-01;77077;900097;2019
indoor;2019-03-01;77078;4460;2019
indoor;2019-03-01;77079;428295;2019
indoor;2019-03-01;77080;174930;2019
indoor;2019-03-01;77081;138346;2019
indoor;2019-03-01;77082;621348;2019
indoor;2019-03-01;77083;139515;2019
indoor;2019-03-01;77084;2139270;2019
indoor;2019-03-01;77085;637;2019
indoor;2019-03-01;77086;2712;2019
indoor;2019-03-01;77087;43601;2019
indoor;2019-03-01;77088;16808;2019
indoor;2019-03-01;77089;256948;2019
indoor;2019-03-01;77090;610639;2019
indoor;2019-03-01;77091;1660;2019
indoor;2019-03-01;77092;323970;2019
indoor;2019-03-01;77093;6629;2019
indoor;2019-03-01;77094;33578;2019
indoor;2019-03-01;77095;542410;2019
indoor;2019-03-01;77096;239764;2019
indoor;2019-03-01;77098;304681;2019
indoor;2019-03-01;77099;1424741;2019
indoor;2019-04-01;77002;77772651;2019
indoor;2019-04-01;77003;410033;2019
indoor;2019-04-01;77004;1425780;2019
indoor;2019-04-01;77005;6052436;2019
indoor;2019-04-01;77006;888407;2019
indoor;2019-04-01;77007;886435;2019
indoor;2019-04-01;77008;1016244;2019
indoor;2019-04-01;77009;130287;2019
indoor;2019-04-01;77010;0;2019
indoor;2019-04-01;77011;0;2019
indoor;2019-04-01;77012;41243;2019
indoor;2019-04-01;77013;88;2019
indoor;2019-04-01;77014;100848;2019
indoor;2019-04-01;77015;89651;2019
indoor;2019-04-01;77016;1072;2019
indoor;2019-04-01;77017;30307;2019
indoor;2019-04-01;77018;344006;2019
indoor;2019-04-01;77019;1703907;2019
indoor;2019-04-01;77020;25739;2019
indoor;2019-04-01;77021;13242;2019
indoor;2019-04-01;77022;62999;2019
indoor;2019-04-01;77023;40656;2019
indoor;2019-04-01;77024;2363494;2019
indoor;2019-04-01;77025;41680;2019
indoor;2019-04-01;77026;3325;2019
indoor;2019-04-01;77027;1560911;2019
indoor;2019-04-01;77028;5043;2019
indoor;2019-04-01;77029;159602;2019
indoor;2019-04-01;77030;6394751;2019
indoor;2019-04-01;77031;46665;2019
indoor;2019-04-01;77032;36504;2019
indoor;2019-04-01;77033;0;2019
indoor;2019-04-01;77034;378884;2019
indoor;2019-04-01;77035;10980;2019
indoor;2019-04-01;77036;412606;2019
indoor;2019-04-01;77037;54110;2019
indoor;2019-04-01;77038;0;2019
indoor;2019-04-01;77039;11805;2019
indoor;2019-04-01;77040;439385;2019
indoor;2019-04-01;77041;122136;2019
indoor;2019-04-01;77042;492095;2019
indoor;2019-04-01;77043;5004715;2019
indoor;2019-04-01;77044;13653;2019
indoor;2019-04-01;77045;2599;2019
indoor;2019-04-01;77046;128114;2019
indoor;2019-04-01;77047;91588;2019
indoor;2019-04-01;77048;156;2019
indoor;2019-04-01;77049;0;2019
indoor;2019-04-01;77050;0;2019
indoor;2019-04-01;77051;0;2019
indoor;2019-04-01;77053;1422;2019
indoor;2019-04-01;77054;19812487;2019
indoor;2019-04-01;77055;355698;2019
indoor;2019-04-01;77056;2715996;2019
indoor;2019-04-01;77057;1128464;2019
indoor;2019-04-01;77058;5919268;2019
indoor;2019-04-01;77059;57806;2019
indoor;2019-04-01;77060;65224;2019
indoor;2019-04-01;77061;22512;2019
indoor;2019-04-01;77062;24729;2019
